Method,Dataset,Category,Image_AUROC,Pixel_AUROC,Pixel_AP,PRO_or_AUPRO,Notes
GLAD,MVTec-AD,bottle,100.0,98.65,85.25,96.1,checkpoint_step=2500
EfficientAD,MVTec-AD,bottle,100.0,97.1624808298723,55.720265497949704,88.98994278006323,efficient_ad_pixel_eval
PUAD,MVTec-AD,bottle,99.92063492063492,,,,feature_extractor=student
GLAD,MVTec-AD,cable,99.1,98.0,66.72,93.54,checkpoint_step=1500
EfficientAD,MVTec-AD,cable,97.24512743628186,98.23094665660797,66.03923053590431,90.74294758150938,efficient_ad_pixel_eval
PUAD,MVTec-AD,cable,97.76986506746627,,,,feature_extractor=student
GLAD,MVTec-AD,capsule,99.6,98.64,53.7,94.98,checkpoint_step=2000
EfficientAD,MVTec-AD,capsule,98.4443558037495,98.60498975332114,33.17429644481083,91.91379552583088,efficient_ad_pixel_eval
PUAD,MVTec-AD,capsule,98.04547267650578,,,,feature_extractor=student
GLAD,MVTec-AD,pill,94.57,97.77,75.2,97.56,checkpoint_step=1500
EfficientAD,MVTec-AD,pill,98.17239498090562,97.75239242898597,48.86794009898884,89.80990190228424,efficient_ad_pixel_eval
PUAD,MVTec-AD,pill,98.0087288597927,,,,feature_extractor=student
GLAD,MVTec-AD,grid,100.0,99.52,53.76,98.17,checkpoint_step=3000
EfficientAD,MVTec-AD,grid,100.0,98.19495168419807,24.61395234420071,93.58896740679148,efficient_ad_pixel_eval
PUAD,MVTec-AD,grid,100.0,,,,feature_extractor=student
